Group,Subject,DOSPERT_ES,DOSPERT_FS,DOSPERT_HSS,DOSPERT_RS,DOSPERT_SS,DOSPERT_EA,DOSPERT_FA,DOSPERT_HSA,DOSPERT_RA,DOSPERT-SA,MACH,IRI sum,IRI PT,IRI FS,IRI EC,IRI PD,BISBAS DRIVE,BISBAS FS,BISBAS RR,BISBAS BIS,RSE,PER_ACQ,PA- D,PA-F,PA-K,PA-SD,PA-SN,IOS,Incentive Effects Scale_1,Incentive Effects Scale_2,Lambda,Rho,Mu
0,SLA001,,,,,,,,,,,80,103,26,15,34,28,9,13,20,26,27,,,,,,,6,3,3,1.51017247,1.562486364,53.72651715
0,SLA002,22,18,29,19,23,2.75,2.25,3.625,2.375,2.875,110,92,17,29,19,27,11,11,17,26,24,,,,,,,1,4,3,6.472578568,0.875699868,3.553612461
0,SLA003,14,11,19,20,25,1.75,1.375,2.375,2.5,3.125,100,88,19,23,27,19,11,10,20,26,48,,,,,,,1,NA,-3,0.333608892,1.446615973,24.33855769
0,SLA004,10,15,22,18,27,1.25,1.875,2.75,2.25,3.375,84,98,30,21,26,21,14,12,20,27,40,,,,,,,2,NA,NA,0.944269365,0.74649869,8.903992074
0,SLA005,16,21,17,12,28,2,2.625,2.125,1.5,3.5,100,83,22,10,27,24,8,11,16,25,35,,,,,,,2,1,2,0.913710275,0.600590707,21.44496704
0,SLA006,9,16,17,11,35,1.125,2,2.125,1.375,4.375,87,106,25,22,34,25,11,8,20,27,40,,,,,,,1,3,3,3.20115076,2.101246426,54.41066639
0,SLA007,11,8,13,17,31,1.375,1,1.625,2.125,3.875,85,100,27,27,29,17,14,14,16,25,43,,,,,,,3,4,5,1.778638999,0.328517297,18.81855235
0,SLA008,22,21,18,28,34,2.75,2.625,2.25,3.5,4.25,108,93,26,27,29,11,16,16,20,18,46,,,,,,,1,4,4,7.597651768,0.670728297,14.74463102
0,SLA009,10,19,15,17,30,1.25,2.375,1.875,2.125,3.75,71,107,33,22,32,20,10,10,18,23,23,,,,,,,2,1,0,0.821383304,0.993700892,26.83018783
0,SLA010,10,22,15,23,27,1.25,2.75,1.875,2.875,3.375,87,91,23,17,25,26,8,11,13,24,27,,,,,,,2,NA,NA,5.511622362,1.217279678,5.878030629
0,SLA011,8,8,12,9,27,1,1,1.5,1.125,3.375,83,92,27,23,26,16,14,9,20,23,48,,,,,,,2,1,2,1.564518771,1.684753229,49.20021513
0,SLA012,9,18,15,14,29,1.125,2.25,1.875,1.75,3.625,78,110,30,30,29,21,16,10,20,23,38,,,,,,,2,1,1,3.26797557,1.202889875,12.6648477
0,SLA013,8,11,9,12,29,1,1.375,1.125,1.5,3.625,80,98,29,31,26,12,15,11,16,10,50,,,,,,,1,5,5,11.25706002,0.981307948,18.45650269
0,SLA014,25,25,28,24,29,3.125,3.125,3.5,3,3.625,99,96,29,24,24,19,12,7,16,14,37,,,,,,,2,2,-1,1.373544592,0.857273672,25.34163293
0,SLA015,16,19,21,22,27,2,2.375,2.625,2.75,3.375,111,87,25,22,23,17,10,12,17,22,25,,,,,,,1,2,1,1.16398425,1.325807067,32.7074333
0,SLA016,27,26,23,27,26,3.375,3.25,2.875,3.375,3.25,105,96,25,17,30,24,8,9,19,25,36,,,,,,,2,2,0,0.414090679,0.862186556,15.17640407
0,SLA017,8,21,8,16,23,1,2.625,1,2,2.875,83,117,23,53,24,17,14,10,20,14,48,,,,,,,1,NA,3,2.41012051,1.525307003,6.770349599
0,SLA019,8,8,17,14,28,1,1,2.125,1.75,3.5,75,108,29,28,35,16,15,12,19,22,46,,,,,,,1,NA,NA,1.380900905,1.214658291,10.55113604
0,SLA020,12,16,16,19,24,1.5,2,2,2.375,3,87,110,35,28,31,16,,,,,49,,,,,,,4,1,1,0.849399786,1.399546388,14.71177366
0,SLA021,13,11,14,10,27,1.625,1.375,1.75,1.25,3.375,104,84,15,27,21,21,10,13,18,19,27,,,,,,,1,3,1,1.92173213,1.503966268,35.16551365
0,SLA022,,,,,,,,,,,103,99,26,27,29,11,11,12,19,23,18,,,,,,,2,0,3,1.511479641,0.912994215,31.83667648
0,SLA023,18,22,20,21,24,2.25,2.75,2.5,2.625,3,82,94,33,17,27,17,13,15,19,14,36,,,,,,,2,3,2,1.603694434,1.496077876,22.65639215
0,SLA024,12,14,15,27,23,1.5,1.75,1.875,3.375,2.875,84,97,27,25,31,14,9,13,17,23,40,,,,,,,2,NA,NA,1.478820641,0.97278781,6.884747791
0,SLA025,21,17,18,25,33,2.625,2.125,2.25,3.125,4.125,89,108,24,30,35,19,13,9,16,21,45,,,,,,,2,5,5,1.192422118,0.54588198,11.22020967
0,SLA026,11,21,20,18,27,1.375,2.625,2.5,2.25,3.375,98,100,18,28,26,28,10,8,16,24,31,,,,,,,1,NA,3,2.823166099,1.004574105,5.329575379
0,SLA027,16,11,18,25,29,2,1.375,2.25,3.125,3.625,103,107,30,28,31,18,8,13,17,26,34,,,,,,,2,NA,NA,1.014802875,1.634899939,10.71473482
0,SLA028,14,17,19,22,30,1.75,2.125,2.375,2.75,3.75,103,111,29,28,29,25,14,13,19,27,24,,,,,,,2,2,2,1.483336384,1.535057755,48.50987119
0,SLA029,12,20,22,11,32,1.5,2.5,2.75,1.375,4,87,89,18,24,22,25,6,11,17,25,24,,,,,,,1,5,5,1.774271971,1.758454975,50.00446206
0,SLA030,21,21,30,21,33,2.625,2.625,3.75,2.625,4.125,112,92,31,30,18,13,13,13,18,20,32,,,,,,,5,-1,-1,0.861427136,1.852666941,47.70612803
1,SLAFR001,13,21,20,25,23,1.625,2.625,2.5,3.125,2.875,89,95,29,12,28,26,12,12,20,25,47,42,5,8,11,6,12,5,0,1,1.428221584,0.819514492,16.8233044
1,SLAFR002,11,12,12,13,26,1.375,1.5,1.5,1.625,3.25,95,96,24,30,27,15,10,16,17,18,43,20,2,4,7,3,4,4,0,0,1.132666507,1.356669075,26.70320819
1,SLAFR003,13,16,23,22,32,1.625,2,2.875,2.75,4,,83,22,21,29,11,8,11,15,15,44,24,4,3,8,2,7,6,4,5,3.227043295,1.047351719,8.262251837
1,SLAFR004,17,17,20,13,30,2.125,2.125,2.5,1.625,3.75,84,111,27,28,30,26,8,11,14,24,28,17,1,2,7,2,5,3,1,0,1.35097813,1.027645357,22.74204495
1,SLAFR005,8,20,17,27,29,1,2.5,2.125,3.375,3.625,77,121,28,34,33,26,11,11,20,23,30,35,4,6,12,4,9,6,0,1,1.492474249,0.859366318,22.77653661
1,SLAFR006,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,NA,-1,2.085958174,0.703112872,7.502287043
1,SLAFR007,10,16,22,22,29,1.25,2,2.75,2.75,3.625,99,135,33,32,35,35,14,13,20,27,41,17,0,2,7,2,6,4,NA,4,4.688829102,0.540298129,9.624043971
1,SLAFR008,,,,,,,,,,,100,75,18,19,21,17,,,,,41,24,1,8,9,2,4,4,-1,1,5.812371518,0.948818725,6.834922523
1,SLAFR009,15,10,27,12,27,1.875,1.25,3.375,1.5,3.375,120,92,17,29,19,27,12,12,16,25,33,40,,,,,,3,0,-2,1.371909056,1.458078737,123.6576217
1,SLAFR010,22,19,23,26,20,2.75,2.375,2.875,3.25,2.5,108,87,25,25,20,17,8,14,20,23,26,35,3,11,10,5,6,5,1,0,1.700840357,0.994162394,27.98350612
1,SLAFR011,18,21,20,26,25,2.25,2.625,2.5,3.25,3.125,93,83,26,22,18,17,7,11,12,14,26,48,10,9,10,9,10,4,0,0,0.964709367,1.158419572,65.83896859
1,SLAFR012,25,21,35,35,32,3.125,2.625,4.375,4.375,4,105,104,24,33,26,21,16,15,18,18,46,40,0,11,9,9,11,6,0,2,1.679255883,1.594880295,20.77584041
1,SLAFR013,21,26,25,18,31,2.625,3.25,3.125,2.25,3.875,101,97,24,25,27,21,11,11,19,23,31,37,5,8,9,7,8,4,-3,2,1.202504606,1.041157668,10.14047257
1,SLAFR014,13,10,24,11,34,1.625,1.25,3,1.375,4.25,80,103,23,26,28,26,9,10,19,24,43,40,8,4,8,8,12,3,0,0,1.183239,0.94354295,14.05087309
1,SLAFR016,12,17,15,22,30,1.5,2.125,1.875,2.75,3.75,76,107,28,30,28,21,8,12,16,23,35,37,6,8,9,8,6,5,2,3,1.060378616,0.998991847,31.12570276
1,SLAFR018,11,18,14,16,30,1.375,2.25,1.75,2,3.75,92,90,28,18,30,14,11,14,20,20,41,29,1,7,6,12,3,4,1,0,1.4683592,1.131151567,26.41627698
1,SLAFR019,10,21,10,14,22,1.25,2.625,1.25,1.75,2.75,105,110,24,30,28,28,8,8,17,25,27,31,9,1,10,6,5,3,2,3,1.988813692,0.915677527,30.47421313
1,SLAFR020,13,16,19,12,32,1.625,2,2.375,1.5,4,73,102,32,33,25,12,,,,,43,41,0,12,11,10,8,4,0,2,1.845387167,1.193926839,10.97881927
1,SLAFR021,16,17,19,8,29,2,2.125,2.375,1,3.625,106,86,19,17,28,22,13,7,20,18,33,39,3,11,9,9,7,2,2,2,6.788039531,0.798826765,7.296381725
1,SLAFR022,19,23,21,18,25,2.375,2.875,2.625,2.25,3.125,97,105,24,29,27,25,10,10,19,21,30,33,1,10,9,9,4,4,2,3,1.95138594,0.686540811,12.34519242
1,SLAFR023,14,13,18,22,29,1.75,1.625,2.25,2.75,3.625,93,105,23,32,27,23,10,10,20,21,38,53,12,12,10,7,12,7,-1,3,5.447212712,1.25496243,7.316608694
1,SLAFR024,20,12,26,17,32,2.5,1.5,3.25,2.125,4,119,117,30,31,31,25,14,11,19,25,29,23,2,6,9,3,3,5,5,5,23.13414436,1.462545283,25.33991403
1,SLAFR025,12,26,23,29,28,1.5,3.25,2.875,3.625,3.5,90,97,26,21,31,19,11,14,18,16,44,,,,,,,5,0,1,0.936516405,1.070666644,36.35076126
1,SLAFR026,8,8,9,8,17,1,1,1.125,1,2.125,78,86,24,17,28,17,12,11,19,22,40,24,0,5,11,4,4,6,5,NA,0.521559707,1.283494726,20.81886393
1,SLAFR027,20,16,28,24,29,2.5,2,3.5,3,3.625,83,99,25,23,32,19,12,14,20,21,44,34,1,8,12,3,10,6,-1,1,0.668936417,1.515712779,55.06088762
1,SLAFR028,9,20,19,16,30,1.125,2.5,2.375,2,3.75,107,111,22,31,31,27,16,15,20,23,46,35,2,8,12,4,9,4,-4,-3,2.233411111,1.292196368,15.2421301
1,SLAFR029,23,23,28,34,27,2.875,2.875,3.5,4.25,3.375,86,103,26,32,22,23,12,14,17,18,31,41,6,8,12,4,11,7,2,4,2.395679233,0.828343238,11.04528496
1,SLAFR030,9,14,10,18,20,1.125,1.75,1.25,2.25,2.5,100,85,25,18,26,16,11,11,19,20,46,22,3,3,9,3,4,5,1,1,1.857022987,0.931148727,10.85502362
